mode,alg,ds,skew,throughput
sgx,RHT,cache-fit,0.8,22.5
sgx,RHT,cache-fit,0.9,22.84
sgx,RHT,cache-fit,0.99,23.08
sgx,RHO,cache-fit,0.5,17.73
sgx,RHO,cache-fit,0.6,17.0
sgx,RHO,cache-fit,0.7,18.81
sgx,RHO,cache-fit,0.8,20.76
sgx,RHO,cache-fit,0.9,20.29
sgx,RHO,cache-fit,0.99,21.27
sgx,RSM,cache-fit,0.5,17.53
sgx,RSM,cache-fit,0.6,17.65
sgx,RSM,cache-fit,0.7,17.88
sgx,RSM,cache-fit,0.8,18.26
sgx,RSM,cache-fit,0.9,18.63
sgx,RSM,cache-fit,0.99,19.46
sgx,CHT,cache-fit,0.5,42.35
sgx,CHT,cache-fit,0.6,44.72
sgx,CHT,cache-fit,0.7,47.87
sgx,CHT,cache-fit,0.8,51.52
sgx,CHT,cache-fit,0.9,56.75
sgx,CHT,cache-fit,0.99,61.39
sgx,PHT,cache-fit,0.5,17.0
sgx,PHT,cache-fit,0.6,18.0
sgx,PHT,cache-fit,0.7,20.0
sgx,PHT,cache-fit,0.8,22.0
sgx,PHT,cache-fit,0.9,26.0
sgx,PHT,cache-fit,0.99,30.0
sgx,MWAY,cache-fit,0.5,6.54
sgx,MWAY,cache-fit,0.6,6.38
sgx,MWAY,cache-fit,0.7,6.32
sgx,MWAY,cache-fit,0.8,6.13
sgx,MWAY,cache-fit,0.9,6.01
sgx,MWAY,cache-fit,0.99,6.03
sgx,INL,cache-fit,0.5,14.24
sgx,INL,cache-fit,0.6,14.52
sgx,INL,cache-fit,0.7,14.68
sgx,INL,cache-fit,0.8,15.06
sgx,INL,cache-fit,0.9,15.66
sgx,INL,cache-fit,0.99,19.71
sgx,PSM,cache-exceed,0.5,5.97
sgx,PSM,cache-exceed,0.6,6.01
sgx,PSM,cache-exceed,0.7,6.27
sgx,PSM,cache-exceed,0.8,6.58
sgx,PSM,cache-exceed,0.9,6.98
sgx,PSM,cache-exceed,0.99,7.89
sgx,RHT,cache-exceed,0.5,16.42
sgx,RHT,cache-exceed,0.6,16.43
sgx,RHT,cache-exceed,0.7,16.4
sgx,RHT,cache-exceed,0.8,16.35
sgx,RHT,cache-exceed,0.9,16.47
sgx,RHT,cache-exceed,0.99,16.24
sgx,RHO,cache-exceed,0.5,18.78
sgx,RHO,cache-exceed,0.6,18.8
sgx,RHO,cache-exceed,0.7,18.81
sgx,RHO,cache-exceed,0.8,18.8
sgx,RHO,cache-exceed,0.9,18.79
sgx,RHO,cache-exceed,0.99,18.24
sgx,RSM,cache-exceed,0.5,12.2
sgx,RSM,cache-exceed,0.6,12.4
sgx,RSM,cache-exceed,0.7,12.64
sgx,RSM,cache-exceed,0.8,12.97
sgx,RSM,cache-exceed,0.9,13.71
sgx,RSM,cache-exceed,0.99,13.96
sgx,CHT,cache-exceed,0.5,1.13
sgx,CHT,cache-exceed,0.6,1.35
sgx,CHT,cache-exceed,0.7,1.55
sgx,CHT,cache-exceed,0.8,1.99
sgx,CHT,cache-exceed,0.9,3.13
sgx,CHT,cache-exceed,0.99,5.42
sgx,PHT,cache-exceed,0.5,0.01
sgx,PHT,cache-exceed,0.6,0.01
sgx,PHT,cache-exceed,0.7,0.01
sgx,PHT,cache-exceed,0.8,0.01
sgx,PHT,cache-exceed,0.9,0.01
sgx,PHT,cache-exceed,0.99,0.01
sgx,MWAY,cache-exceed,0.5,4.12
sgx,MWAY,cache-exceed,0.6,5.1
sgx,MWAY,cache-exceed,0.7,5.48
sgx,MWAY,cache-exceed,0.8,5.22
sgx,MWAY,cache-exceed,0.9,4.94
sgx,MWAY,cache-exceed,0.99,4.59
sgx,INL,cache-exceed,0.5,0.15
sgx,INL,cache-exceed,0.6,0.16
sgx,INL,cache-exceed,0.7,0.16
sgx,INL,cache-exceed,0.8,0.18
sgx,INL,cache-exceed,0.9,0.18
sgx,INL,cache-exceed,0.99,0.21

